time	V(vcap)
0.000000000000000e+000	1.000000e-009
1.000000000000000e-005	1.000000e-009
1.000004978279048e-005	1.000000e-009
1.000004997407762e-005	1.000025e-009
1.000005002969885e-005	1.000080e-009
1.000005007523049e-005	1.000174e-009
1.000010000000000e-005	3.954316e-009
1.000388875664405e-005	2.091381e-005
1.000767751328810e-005	8.242962e-005
1.001146626993215e-005	1.845514e-004
1.001525502657621e-005	3.272791e-004
1.001904378322026e-005	5.106128e-004
1.002283253986431e-005	7.345525e-004
1.002662129650836e-005	9.990981e-004
1.005314421184700e-005	3.784738e-003
1.009314421184700e-005	1.066559e-002
1.013314421184700e-005	2.079947e-002
1.017314421184700e-005	3.445231e-002
1.021314421184700e-005	5.158428e-002
1.025314421184700e-005	7.215339e-002
1.029314421184700e-005	9.611549e-002
1.033314421184700e-005	1.234244e-001
1.037314421184700e-005	1.540318e-001
1.041314421184700e-005	1.878875e-001
1.045314421184700e-005	2.249394e-001
1.049314421184700e-005	2.651334e-001
1.053314421184700e-005	3.084137e-001
1.057314421184700e-005	3.547228e-001
1.061314421184699e-005	4.040013e-001
1.065314421184699e-005	4.561882e-001
1.069314421184699e-005	5.112211e-001
1.077314421184699e-005	6.295669e-001
1.085314421184699e-005	7.585091e-001
1.093314421184699e-005	8.974963e-001
1.105314421184699e-005	1.123558e+000
1.117314421184699e-005	1.368932e+000
1.127600135470413e-005	1.596518e+000
1.137885849756127e-005	1.831977e+000
1.148171564041841e-005	2.075310e+000
1.158457278327556e-005	2.326516e+000
1.168742992613270e-005	2.585596e+000
1.179028706898984e-005	2.852550e+000
1.189314421184698e-005	3.127378e+000
1.203600135470412e-005	3.517318e+000
1.217885849756127e-005	3.900891e+000
1.232171564041841e-005	4.278098e+000
1.246457278327555e-005	4.648939e+000
1.260742992613269e-005	5.013414e+000
1.275028706898983e-005	5.371523e+000
1.289314421184697e-005	5.723266e+000
1.301885849756126e-005	6.015067e+000
1.314457278327554e-005	6.288663e+000
1.327028706898983e-005	6.544056e+000
1.339600135470411e-005	6.781244e+000
1.352171564041840e-005	7.000227e+000
1.364742992613268e-005	7.201007e+000
1.377314421184696e-005	7.383582e+000
1.386457278327554e-005	7.500956e+000
1.395600135470411e-005	7.606373e+000
1.404742992613268e-005	7.699832e+000
1.413885849756125e-005	7.781334e+000
1.423028706898982e-005	7.850878e+000
1.432171564041839e-005	7.908464e+000
1.441314421184696e-005	7.954092e+000
1.445314421184696e-005	7.970189e+000
1.449314421184696e-005	7.984026e+000
1.453314421184696e-005	7.995604e+000
1.457314421184696e-005	8.004922e+000
1.461314421184696e-005	8.011981e+000
1.465314421184696e-005	8.016780e+000
1.469314421184696e-005	8.019320e+000
1.473314421184696e-005	8.019684e+000
1.477314421184696e-005	8.017859e+000
1.485314421184695e-005	8.007722e+000
1.493314421184695e-005	7.989084e+000
1.505314421184695e-005	7.945627e+000
1.517314421184695e-005	7.884247e+000
1.529314421184695e-005	7.805794e+000
1.545314421184695e-005	7.669024e+000
1.561314421184695e-005	7.513134e+000
1.577314421184695e-005	7.338124e+000
1.593314421184694e-005	7.143994e+000
1.609314421184694e-005	6.930744e+000
1.625314421184694e-005	6.698374e+000
1.641314421184694e-005	6.446884e+000
1.659028706898979e-005	6.157300e+000
1.676742992613265e-005	5.871829e+000
1.694457278327551e-005	5.590471e+000
1.712171564041836e-005	5.313227e+000
1.729885849756122e-005	5.040095e+000
1.747600135470407e-005	4.771077e+000
1.765314421184693e-005	4.506172e+000
1.777885849756121e-005	4.332749e+000
1.790457278327550e-005	4.170556e+000
1.803028706898978e-005	4.019592e+000
1.815600135470407e-005	3.879856e+000
1.828171564041835e-005	3.751350e+000
1.840742992613263e-005	3.634072e+000
1.853314421184692e-005	3.528024e+000
1.861885849756120e-005	3.464284e+000
1.870457278327549e-005	3.406904e+000
1.879028706898977e-005	3.355885e+000
1.887600135470406e-005	3.311227e+000
1.896171564041835e-005	3.272929e+000
1.904742992613263e-005	3.240991e+000
1.913314421184691e-005	3.215414e+000
1.917314421184691e-005	3.205704e+000
1.921314421184691e-005	3.197359e+000
1.925314421184691e-005	3.190379e+000
1.929314421184691e-005	3.184763e+000
1.933314421184691e-005	3.180513e+000
1.937314421184691e-005	3.177627e+000
1.941314421184691e-005	3.176106e+000
1.945314421184691e-005	3.175900e+000
1.949314421184691e-005	3.177015e+000
1.957314421184691e-005	3.183164e+000
1.965314421184691e-005	3.194448e+000
1.977314421184691e-005	3.220735e+000
1.989314421184691e-005	3.257848e+000
