time	V(vcap)	I(C1)
0.000000000000000e+000	1.000000e-009	1.000000e-029
1.000000000000000e-005	1.000000e-009	0.000000e+000
1.000004978279048e-005	1.000000e-009	-5.396421e-021
1.000004997407762e-005	1.000025e-009	9.048577e-009
1.000005002969885e-005	1.000080e-009	1.838650e-008
1.000005007523049e-005	1.000174e-009	2.439414e-008
1.000010000000000e-005	3.954316e-009	1.159041e-006
1.000388875664405e-005	2.091381e-005	8.722401e-005
1.000767751328810e-005	8.242961e-005	1.731986e-004
1.001146626993215e-005	1.845514e-004	2.590829e-004
1.001525502657621e-005	3.272791e-004	3.448769e-004
1.001904378322026e-005	5.106128e-004	4.305805e-004
1.002283253986431e-005	7.345524e-004	5.161937e-004
1.002662129650836e-005	9.990979e-004	6.017166e-004
1.005314421184700e-005	3.784738e-003	1.198185e-003
1.009314421184700e-005	1.066559e-002	2.091180e-003
1.013314421184700e-005	2.079947e-002	2.975760e-003
1.017314421184700e-005	3.445230e-002	3.850659e-003
1.021314421184700e-005	5.158428e-002	4.715328e-003
1.025314421184700e-005	7.215338e-002	5.569225e-003
1.029314421184700e-005	9.611548e-002	6.411826e-003
1.033314421184700e-005	1.234244e-001	7.242615e-003
1.037314421184700e-005	1.540318e-001	8.061092e-003
1.041314421184700e-005	1.878875e-001	8.866770e-003
1.045314421184700e-005	2.249394e-001	9.659173e-003
1.049314421184700e-005	2.651334e-001	1.043784e-002
1.053314421184700e-005	3.084137e-001	1.120233e-002
1.057314421184700e-005	3.547228e-001	1.195220e-002
1.061314421184699e-005	4.040012e-001	1.268703e-002
1.065314421184699e-005	4.561881e-001	1.340643e-002
1.069314421184699e-005	5.112210e-001	1.411000e-002
1.077314421184699e-005	6.295668e-001	1.546818e-002
1.085314421184699e-005	7.585090e-001	1.675875e-002
1.093314421184699e-005	8.974962e-001	1.797912e-002
1.105314421184699e-005	1.123557e+000	1.967306e-002
1.117314421184699e-005	1.368932e+000	2.119708e-002
1.127600135470413e-005	1.596517e+000	2.236645e-002
1.137885849756127e-005	1.831977e+000	2.340098e-002
1.148171564041841e-005	2.075309e+000	2.430069e-002
1.158457278327556e-005	2.326516e+000	2.506557e-002
1.168742992613270e-005	2.585596e+000	2.569562e-002
1.179028706898984e-005	2.852550e+000	2.619085e-002
1.189314421184698e-005	3.127378e+000	2.655124e-002
1.203600135470412e-005	3.517317e+000	2.680247e-002
1.217885849756127e-005	3.900890e+000	2.682465e-002
1.232171564041841e-005	4.278098e+000	2.661778e-002
1.246457278327555e-005	4.648939e+000	2.618185e-002
1.260742992613269e-005	5.013414e+000	2.551686e-002
1.275028706898983e-005	5.371523e+000	2.462282e-002
1.289314421184697e-005	5.723265e+000	2.349973e-002
1.301885849756126e-005	6.015066e+000	2.235471e-002
1.314457278327554e-005	6.288663e+000	2.111244e-002
1.327028706898983e-005	6.544056e+000	1.977292e-002
1.339600135470411e-005	6.781244e+000	1.833615e-002
1.352171564041840e-005	7.000227e+000	1.680213e-002
1.364742992613268e-005	7.201007e+000	1.517086e-002
1.377314421184696e-005	7.383582e+000	1.344234e-002
1.386457278327554e-005	7.500956e+000	1.216394e-002
1.395600135470411e-005	7.606373e+000	1.087719e-002
1.404742992613268e-005	7.699832e+000	9.582081e-003
1.413885849756125e-005	7.781333e+000	8.278626e-003
1.423028706898982e-005	7.850877e+000	6.966818e-003
1.432171564041839e-005	7.908463e+000	5.646660e-003
1.441314421184696e-005	7.954092e+000	4.318149e-003
1.445314421184696e-005	7.970189e+000	3.744156e-003
1.449314421184696e-005	7.984026e+000	3.173298e-003
1.453314421184696e-005	7.995604e+000	2.605575e-003
1.457314421184696e-005	8.004922e+000	2.040987e-003
1.461314421184696e-005	8.011981e+000	1.479534e-003
1.465314421184696e-005	8.016780e+000	9.212156e-004
1.469314421184696e-005	8.019320e+000	3.660324e-004
1.473314421184696e-005	8.019684e+000	-1.837467e-004
1.477314421184696e-005	8.017859e+000	-7.287154e-004
1.485314421184695e-005	8.007722e+000	-1.802813e-003
1.493314421184695e-005	7.989084e+000	-2.853515e-003
1.505314421184695e-005	7.945627e+000	-4.379971e-003
1.517314421184695e-005	7.884248e+000	-5.839511e-003
1.529314421184695e-005	7.805795e+000	-7.224404e-003
1.545314421184695e-005	7.669025e+000	-8.964486e-003
1.561314421184695e-005	7.513135e+000	-1.052066e-002
1.577314421184695e-005	7.338125e+000	-1.189294e-002
1.593314421184694e-005	7.143995e+000	-1.308132e-002
1.609314421184694e-005	6.930745e+000	-1.408579e-002
1.625314421184694e-005	6.698375e+000	-1.490636e-002
1.641314421184694e-005	6.446885e+000	-1.554302e-002
1.659028706898979e-005	6.157301e+000	-1.597241e-002
1.676742992613265e-005	5.871830e+000	-1.618464e-002
1.694457278327551e-005	5.590472e+000	-1.617971e-002
1.712171564041836e-005	5.313228e+000	-1.595763e-002
1.729885849756122e-005	5.040096e+000	-1.551839e-002
1.747600135470407e-005	4.771078e+000	-1.486200e-002
1.765314421184693e-005	4.506172e+000	-1.398845e-002
1.777885849756121e-005	4.332750e+000	-1.327076e-002
1.790457278327550e-005	4.170557e+000	-1.249685e-002
1.803028706898978e-005	4.019592e+000	-1.166674e-002
1.815600135470407e-005	3.879857e+000	-1.078041e-002
1.828171564041835e-005	3.751350e+000	-9.837881e-003
1.840742992613263e-005	3.634073e+000	-8.839137e-003
1.853314421184692e-005	3.528024e+000	-7.784184e-003
1.861885849756120e-005	3.464284e+000	-7.055773e-003
1.870457278327549e-005	3.406904e+000	-6.323540e-003
1.879028706898977e-005	3.355885e+000	-5.587485e-003
1.887600135470406e-005	3.311227e+000	-4.847609e-003
1.896171564041835e-005	3.272929e+000	-4.103911e-003
1.904742992613263e-005	3.240991e+000	-3.356392e-003
1.913314421184691e-005	3.215414e+000	-2.605051e-003
1.917314421184691e-005	3.205704e+000	-2.258330e-003
1.921314421184691e-005	3.197359e+000	-1.913505e-003
1.925314421184691e-005	3.190379e+000	-1.570576e-003
1.929314421184691e-005	3.184763e+000	-1.229543e-003
1.933314421184691e-005	3.180513e+000	-8.904062e-004
1.937314421184691e-005	3.177627e+000	-5.531653e-004
1.941314421184691e-005	3.176106e+000	-2.178205e-004
1.945314421184691e-005	3.175899e+000	1.142578e-004
1.949314421184691e-005	3.177015e+000	4.434281e-004
1.957314421184691e-005	3.183164e+000	1.092194e-003
1.965314421184691e-005	3.194448e+000	1.726820e-003
1.977314421184691e-005	3.220735e+000	2.648783e-003
1.989314421184691e-005	3.257847e+000	3.530309e-003
2.001314421184690e-005	3.305272e+000	4.366728e-003
2.017314421184690e-005	3.387932e+000	5.417625e-003
2.033314421184690e-005	3.482138e+000	6.357420e-003
2.049314421184690e-005	3.587889e+000	7.186114e-003
2.065314421184690e-005	3.705186e+000	7.903706e-003
2.081314421184690e-005	3.834028e+000	8.510196e-003
2.097314421184690e-005	3.974415e+000	9.005585e-003
2.113314421184689e-005	4.126348e+000	9.389873e-003
2.131028706898975e-005	4.301288e+000	9.648917e-003
2.148742992613260e-005	4.473738e+000	9.776799e-003
2.166457278327546e-005	4.643698e+000	9.773519e-003
2.184171564041832e-005	4.811169e+000	9.639077e-003
2.201885849756117e-005	4.976149e+000	9.373473e-003
2.219600135470403e-005	5.138640e+000	8.976707e-003
2.237314421184688e-005	5.298641e+000	8.448780e-003
2.249885849756117e-005	5.403383e+000	8.015088e-003
2.262457278327545e-005	5.501341e+000	7.547458e-003
2.275028706898974e-005	5.592514e+000	7.045888e-003
2.287600135470402e-005	5.676903e+000	6.510378e-003
2.300171564041831e-005	5.754508e+000	5.940929e-003
2.312742992613259e-005	5.825328e+000	5.337541e-003
2.325314421184687e-005	5.889364e+000	4.700213e-003
2.333885849756116e-005	5.927851e+000	4.260168e-003
2.342457278327544e-005	5.962494e+000	3.817822e-003
2.351028706898973e-005	5.993296e+000	3.373175e-003
2.359600135470401e-005	6.020255e+000	2.926226e-003
2.368171564041830e-005	6.043372e+000	2.476976e-003
2.376742992613258e-005	6.062647e+000	2.025424e-003
2.385314421184687e-005	6.078079e+000	1.571571e-003
2.389314421184687e-005	6.083936e+000	1.362134e-003
2.393314421184687e-005	6.088969e+000	1.153844e-003
2.397314421184687e-005	6.093178e+000	9.467000e-004
2.401314421184687e-005	6.096562e+000	7.407030e-004
2.405314421184687e-005	6.099121e+000	5.358528e-004
2.409314421184687e-005	6.100857e+000	3.321492e-004
2.413314421184687e-005	6.101768e+000	1.295924e-004
2.417314421184687e-005	6.101884e+000	-7.098995e-005
2.421314421184686e-005	6.101203e+000	-2.698144e-004
2.429314421184686e-005	6.097473e+000	-6.616759e-004
2.437314421184686e-005	6.090641e+000	-1.044990e-003
2.449314421184686e-005	6.074740e+000	-1.601847e-003
2.461314421184686e-005	6.052300e+000	-2.134267e-003
2.473314421184686e-005	6.023633e+000	-2.639429e-003
2.489314421184686e-005	5.973675e+000	-3.274103e-003
2.505314421184686e-005	5.916746e+000	-3.841656e-003
2.521314421184686e-005	5.852845e+000	-4.342090e-003
